Title
The BABAR detector
arXiv: Handbook of LHC Higgs Cross Sections: 4. Deciphering the Nature of the Higgs Sector
Handbook of LHC Higgs cross sections: 3. Higgs properties
Measurement of time-dependent  asymmetry in  decays
Performance of b-jet identification in the ATLAS experiment
Handbook of LHC Higgs cross sections: 2. Differential distributions
Exclusive Electroproduction of  and  Mesons at HERA
Measurement of inelastic J/ψ photoproduction at HERA
Searches for Lepton Flavor Violation in the Decays  and 
Observation of a Centrality-Dependent Dijet Asymmetry in Lead-Lead <?format ?>Collisions at  with the ATLAS Detector at the LHC
Measurement of the  production cross-section using  events with -tagged jets in  collisions at  and 8 TeV with the ATLAS detector
Measurement of σ (pp→ bb¯ X) at s= 7 TeV in the forward region
Performance of the ATLAS muon trigger in pp collisions at  TeV
The physics of the B factories
Measurements of Higgs boson properties in the diphoton decay channel with  of  collision data at  with the ATLAS detector
Search for the  decay of the Standard Model Higgs boson in associated  production with the ATLAS detector
Measurement of the Cabibbo-Kobayashi-Maskawa Angle  in  Decays <?format ?>with a Dalitz Analysis of 
Erratum to: Study of the spin and parity of the Higgs boson in diboson decays with the ATLAS detector
Study of  using initial state radiation with BABAR
Search for doubly charmed baryons  and  in BABAR
Evidence of a Broad Structure at an Invariant Mass of  <?format ?>in the Reaction  Measured at BABAR
Measurement of double charmonium production in  annihilations at 
ZEUS next-to-leading-order QCD analysis of data on deep inelastic scattering
Measurement of deeply virtual Compton scattering at HERA
Erratum to: ATLAS Run 1 searches for direct pair production of third-generation squarks at the Large Hadron Collider ATLAS Collaboration
"Measurements of branching fractions, rate asymmetries, and angular distributions in the rare decays  and "
Observation of the Baryonic Flavor-Changing Neutral Current Decay 
"Search for an additional, heavy Higgs boson in the  decay channel at  in  collision data with the ATLAS detector"
Search for Higgs bosons decaying to  in the  final state in  collisions at  with the ATLAS experiment
Search for Heavy Higgs Bosons Decaying into Two Tau Leptons with the ATLAS Detector Using  Collisions at 
ATLAS collaboration
Search for Lepton Flavor Violation in the Decay 
Searches for electroweak production of supersymmetric particles with compressed mass spectra in   collisions with the ATLAS detector
Measurement of the Branching Fraction and Photon Energy Moments <?format ?>of  and 
The silicon microstrip sensors of the ATLAS semiconductor tracker
Prospects for the search for a standard model Higgs boson in ATLAS using vector boson fusion
Measurement of jet fragmentation in Pb+Pb and  collisions at  TeV with the ATLAS detector
"Search for massive, long-lived particles using multitrack displaced vertices or displaced lepton pairs in  collisions at  with the ATLAS detector"
Measurement of the proton structure function F2 at very low Q2 at HERA
Search for Higgs boson pair production in the  final state from pp collisions at  TeVwith the ATLAS detector
Searches for heavy  and  resonances in the  and  final states in  collisions at  TeV with the ATLAS detector
"Search for , "
Measurement of the inclusive isolated prompt photons cross section in  collisions at  with the ATLAS detector using 
"The ,  and  cross sections at center-of-mass energies from production threshold to 4.5 GeV measured with initial-state radiation"
The ATLAS semiconductor tracker end-cap module
Observation of a New  Meson Decaying to  at a Mass of 
Search for supersymmetry in  collisions at  in final states with missing transverse momentum and -jets with the ATLAS detector
Evidence for  production and measurement of 
 Properties of Higgs Boson Interactions with Top Quarks in the  and  Processes Using  with the ATLAS Detector
", , and  cross sections at center-of-mass energies 0.5–4.5 GeV measured with initial-state radiation"
Measurement of  production in deep inelastic  scattering at DESY HERA
Search for Resonant and Nonresonant Higgs Boson Pair Production in the  Decay Channel in  Collisions at  with the ATLAS Detector
Search for the electroweak production of supersymmetric particles in   collisions with the ATLAS detector
Measurement of the diffractive structure functionF 2  D(4) at HERA
"Search for production of  resonances decaying to a lepton, neutrino and jets in  collisions at  TeV with the ATLAS detector"
Measurements of the  branching fraction and photon spectrum <?format ?>from a sum of exclusive final states
Search for tt¯ resonances in the lepton plus jets final state with ATLAS using 4.7 fb-1<? format?> of pp collisions at s<? format?>=<? format?> 7 TeV
Dijet cross sections in photoproduction at HERA
Elastic and proton-dissociative photoproduction at HERA
Inclusive jet cross sections in the Breit frame in neutral current deep inelastic scattering at HERA and determination of αs
Measurement of the top quark mass in the  and  channels using   ATLAS data
Measurement of  asymmetries in  and  decays
Observation of a Charmed Baryon Decaying to  at a Mass Near 
Search for resonances in the mass distribution of jet pairs with one or two jets identified as -jets in proton-proton collisions at  with the ATLAS detector
Search for flavour-changing neutral current top-quark decays to qZ q Z in pp pp collision data collected with the ATLAS detector at s= 8 s= 8 TeV
Search for a new resonance decaying to a W or Z boson and a Higgs boson in the ℓℓ/ℓν/νν+ bb final states with the ATLAS detector
Observation of  and 
Search for single-top production in ep collisions at HERA
Search for heavy charged long-lived particles in the ATLAS detector in  of proton-proton collision data at 
Measurement of elastic ϒ photoproduction at HERA
