Title
Sankofa: The Critical Nkrumahist Theory
Sankofa: Disability and the door of return
"Disability Data Justice from the Ground Up: A Practice-Led, Participatory Co-Design Approach to Building an AI Search Engine and Data Repository for Local, National, and Transnational Disability Organizations"
"Theorizing race, gender, ability, and precarity in early childhood education: A way forward"
Decolonizing Early Childhood Education: Tracing Ancestral Disruptions and Advocating for African/Black Indigenous Knowledge Reclamation
Advocates Assembly Notes
Les droits des enfants handicapés sont-ils respectés dans leur vie de tous les jours?
