Title
Understanding the impact of HIV on mpox transmission in the MSM population: A mathematical modeling study
A new compartmentalized epidemic model to analytically study the impact of awareness on the control and mitigation of the monkeypox disease
Dynamics of Mpox in an HIV endemic community: A mathematical modelling approach
Construction of Lyapunov Functions for the Stability of Sixth Order Ordinary Differential Equation
Pre-exposure vaccination in the high-risk population is crucial in controlling mpox resurgence in Canada
Impact of Awareness Campaign on the Outbreak of Mpox: Mathematical Modelling Approach
